,N,Run,Gini,width,height
152,310,152,0.6320083246618106,10,10
153,310,153,0.6566493236212279,10,10
154,310,154,0.655879292403746,10,10
155,320,155,0.66041015625,10,10
156,320,156,0.6569140625000001,10,10
157,320,157,0.6541015625000001,10,10
158,320,158,0.6680078125,10,10
159,320,159,0.6666015625,10,10
160,330,160,0.6821854912764003,10,10
161,330,161,0.6853259871441688,10,10
162,330,162,0.6691827364554637,10,10
163,330,163,0.6735169880624425,10,10
164,330,164,0.6453627180899908,10,10
165,340,165,0.6266262975778547,10,10
166,340,166,0.6733217993079585,10,10
167,340,167,0.6611764705882353,10,10
168,340,168,0.6806401384083045,10,10
169,340,169,0.6490657439446367,10,10
170,350,170,0.6704979591836735,10,10
171,350,171,0.6580734693877551,10,10
172,350,172,0.6436408163265306,10,10
173,350,173,0.6597877551020408,10,10
174,350,174,0.6303183673469388,10,10
175,360,175,0.6385493827160493,10,10
176,360,176,0.6774537037037036,10,10
177,360,177,0.668179012345679,10,10
178,360,178,0.639537037037037,10,10
179,360,179,0.6641049382716049,10,10
180,370,180,0.6157487216946675,10,10
181,370,181,0.6458582907231556,10,10
182,370,182,0.6576040905770635,10,10
183,370,183,0.634317019722425,10,10
184,370,184,0.6439298758217677,10,10
185,380,185,0.651371191135734,10,10
186,380,186,0.6347229916897505,10,10
187,380,187,0.6382271468144043,10,10
188,380,188,0.6792382271468143,10,10
189,380,189,0.6749584487534626,10,10
190,390,190,0.6632215647600264,10,10
191,390,191,0.6641814595660749,10,10
192,390,192,0.6445759368836292,10,10
193,390,193,0.6702695595003287,10,10
194,390,194,0.6783168967784352,10,10
195,400,195,0.6519249999999999,10,10
196,400,196,0.6582124999999999,10,10
197,400,197,0.643025,10,10
198,400,198,0.654225,10,10
199,400,199,0.6377124999999999,10,10
200,410,200,0.6368947055324212,10,10
201,410,201,0.6567281380130874,10,10
202,410,202,0.6542296252230815,10,10
203,410,203,0.65017251635931,10,10
204,410,204,0.6453539559785841,10,10
205,420,205,0.6587301587301587,10,10
206,420,206,0.6272335600907029,10,10
207,420,207,0.6489909297052154,10,10
208,420,208,0.6403061224489797,10,10
209,420,209,0.6388662131519274,10,10
210,430,210,0.638442401297999,10,10
211,430,211,0.6129259058950784,10,10
212,430,212,0.6383775013520823,10,10
213,430,213,0.6331638723634397,10,10
214,430,214,0.6268685776095186,10,10
215,440,215,0.6481611570247934,10,10
216,440,216,0.6514462809917354,10,10
217,440,217,0.6485020661157024,10,10
218,440,218,0.6099070247933884,10,10
219,440,219,0.6470764462809917,10,10
220,450,220,0.6414617283950617,10,10
221,450,221,0.6154074074074073,10,10
222,450,222,0.6633975308641975,10,10
223,450,223,0.6477037037037037,10,10
224,450,224,0.6243358024691357,10,10
225,460,225,0.6508317580340266,10,10
226,460,226,0.6092816635160682,10,10
227,460,227,0.6447353497164463,10,10
228,460,228,0.624413988657845,10,10
229,460,229,0.6490548204158791,10,10
230,470,230,0.6307650520597556,10,10
231,470,231,0.6334449977365324,10,10
232,470,232,0.6719330013580807,10,10
233,470,233,0.637845178813943,10,10
234,470,234,0.6512449071978271,10,10
235,480,235,0.6541666666666668,10,10
236,480,236,0.658263888888889,10,10
237,480,237,0.6365972222222223,10,10
238,480,238,0.639748263888889,10,10
239,480,239,0.6521180555555557,10,10
240,490,240,0.6230403998334028,10,10
241,490,241,0.6252728029987505,10,10
242,490,242,0.6311453561016244,10,10
243,490,243,0.611911703456893,10,10
244,490,244,0.6428821324448146,10,10
